epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4605,1.13614,0.80313,0.87819,0.92903,0.92467,0.97033,0.68609,1.03353,0.61481,0.86819,0.000235468,0.000235468,0.000235468
2,73.6426,1.16091,0.81729,0.89184,0.91564,0.9224,0.966,0.65643,1.10659,0.67526,0.8873,0.000470343,0.000470343,0.000470343
3,108.743,1.20717,0.90713,0.8983,0.89457,0.89856,0.94872,0.65535,1.08435,0.7042,0.87871,0.000702077,0.000702077,0.000702077
4,143.589,1.21708,0.92142,0.90891,0.90345,0.90939,0.96163,0.65893,1.0949,0.69939,0.88264,0.000699863,0.000699863,0.000699863
5,178.529,1.24471,0.90389,0.89743,0.88653,0.87239,0.94015,0.64979,1.08418,0.74705,0.87541,0.00069515,0.00069515,0.00069515
6,213.809,1.22891,0.91472,0.91441,0.89754,0.88064,0.94678,0.64552,1.11429,0.7237,0.88449,0.000690438,0.000690438,0.000690438
7,248.931,1.21304,0.88676,0.90463,0.88556,0.90794,0.95349,0.6328,1.16344,0.71397,0.89307,0.000685726,0.000685726,0.000685726
8,284.006,1.244,0.92261,0.91137,0.88241,0.89629,0.94877,0.63524,1.16429,0.72898,0.8943,0.000681013,0.000681013,0.000681013
9,319.067,1.23216,0.92619,0.89715,0.88161,0.93238,0.95942,0.6544,1.09617,0.70423,0.87979,0.000676301,0.000676301,0.000676301
10,354.179,1.21501,0.87443,0.90663,0.89489,0.89432,0.95897,0.6568,1.09819,0.70581,0.88489,0.000671588,0.000671588,0.000671588
11,389.276,1.21361,0.85473,0.89257,0.91579,0.91116,0.96528,0.65997,1.10027,0.66444,0.88577,0.000666876,0.000666876,0.000666876
12,424.067,1.24106,0.86333,0.9191,0.90573,0.89291,0.95579,0.65786,1.09589,0.69762,0.88019,0.000662164,0.000662164,0.000662164
13,459.214,1.22528,0.86844,0.90764,0.89958,0.89825,0.9579,0.62417,1.15851,0.71697,0.88852,0.000657451,0.000657451,0.000657451
14,494.398,1.24239,0.87803,0.91608,0.89517,0.91983,0.96614,0.62729,1.23162,0.71612,0.90401,0.000652739,0.000652739,0.000652739
15,529.899,1.21147,0.87921,0.90649,0.89985,0.92392,0.96492,0.65869,1.09383,0.6811,0.8766,0.000648026,0.000648026,0.000648026
16,565.321,1.19168,0.83427,0.89052,0.89937,0.92885,0.96637,0.66617,1.08214,0.67843,0.87906,0.000643314,0.000643314,0.000643314
17,601.18,1.22926,0.87001,0.9033,0.89798,0.93578,0.96409,0.66884,1.07586,0.6662,0.87978,0.000638602,0.000638602,0.000638602
18,636.593,1.22622,0.87496,0.89852,0.91172,0.93203,0.96636,0.67437,1.05687,0.65091,0.87517,0.000633889,0.000633889,0.000633889
19,672.084,1.16137,0.83482,0.89452,0.87469,0.92078,0.96242,0.66141,1.08287,0.68942,0.87648,0.000629177,0.000629177,0.000629177
20,707.457,1.1625,0.80082,0.90214,0.90724,0.9282,0.96773,0.67571,1.07407,0.65054,0.87641,0.000624464,0.000624464,0.000624464
21,742.552,1.20129,0.84636,0.89498,0.91125,0.93718,0.96916,0.67176,1.05755,0.65104,0.8745,0.000619752,0.000619752,0.000619752
22,777.602,1.18406,0.80545,0.89322,0.89855,0.91763,0.95704,0.65992,1.0883,0.66225,0.88014,0.00061504,0.00061504,0.00061504
23,812.798,1.20566,0.81615,0.90428,0.91286,0.93161,0.97179,0.67628,1.05243,0.63252,0.87203,0.000610327,0.000610327,0.000610327
24,847.89,1.2345,0.8476,0.90954,0.90851,0.94036,0.97067,0.66406,1.11569,0.64571,0.88502,0.000605615,0.000605615,0.000605615
25,883.205,1.17384,0.80227,0.89665,0.92961,0.92444,0.97418,0.68241,1.05454,0.62786,0.86966,0.000600902,0.000600902,0.000600902
26,918.906,1.16933,0.82625,0.88988,0.91379,0.91946,0.97222,0.67913,1.06766,0.64798,0.87628,0.00059619,0.00059619,0.00059619
27,954.657,1.18078,0.81076,0.90018,0.90691,0.93212,0.972,0.6827,1.04974,0.63367,0.87047,0.000591478,0.000591478,0.000591478
28,990.367,1.17125,0.82459,0.89067,0.91294,0.94199,0.97398,0.6814,1.06869,0.64119,0.8773,0.000586765,0.000586765,0.000586765
29,1026.39,1.19995,0.8107,0.89796,0.92255,0.92536,0.97359,0.67752,1.07166,0.64178,0.87734,0.000582053,0.000582053,0.000582053
30,1062.06,1.21064,0.80853,0.90064,0.93598,0.92992,0.97067,0.68111,1.05913,0.62537,0.87442,0.00057734,0.00057734,0.00057734
31,1097.95,1.16124,0.78271,0.88829,0.92078,0.93796,0.9749,0.68537,1.06258,0.62413,0.87013,0.000572628,0.000572628,0.000572628
32,1133.07,1.1649,0.7658,0.89576,0.91832,0.9482,0.97796,0.68569,1.05982,0.61497,0.87449,0.000567916,0.000567916,0.000567916
33,1168.38,1.18247,0.78496,0.89181,0.92019,0.94138,0.97524,0.67901,1.06992,0.61462,0.87574,0.000563203,0.000563203,0.000563203
