epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.80379,2.12702,4.67235,1.69481,0.00133,0.4,0.00128,0.00013,2.09999,5.05381,2.09561,0,0,0
2,7.88875,2.34631,4.64381,1.85364,0.00133,0.4,0.00132,0.00018,1.90729,4.89451,1.90871,1.9802e-05,1.9802e-05,1.9802e-05
3,11.8565,2.18795,4.33307,1.72338,0.00267,0.8,0.00363,0.00093,1.5951,4.65706,1.5816,3.9208e-05,3.9208e-05,3.9208e-05
4,15.7771,1.64525,4.20095,1.47617,0.00333,1,0.00517,0.00232,1.26563,4.15407,1.29641,5.8218e-05,5.8218e-05,5.8218e-05
5,19.9273,1.6503,4.00715,1.47197,0.00333,1,0.00571,0.00337,1.07247,4.02326,1.10509,7.6832e-05,7.6832e-05,7.6832e-05
6,23.973,1.39588,3.8923,1.33761,0.00333,1,0.00664,0.00451,0.88507,3.91973,0.94724,9.505e-05,9.505e-05,9.505e-05
7,28.3637,1.3119,3.58088,1.14619,0.00333,1,0.00832,0.00537,0.84808,3.86161,0.90521,0.000112872,0.000112872,0.000112872
8,32.8867,1.09039,3.40178,1.0754,0.00333,1,0.00871,0.00577,0.95613,3.92225,0.92534,0.000130298,0.000130298,0.000130298
9,36.8664,1.0678,3.12802,1.01443,0.00333,1,0.00906,0.0049,1.29927,4.01394,1.05889,0.000147328,0.000147328,0.000147328
10,40.8488,1.1379,2.88576,0.95784,0.00333,1,0.00874,0.00428,1.36748,4.05508,1.11567,0.000163962,0.000163962,0.000163962
11,44.8528,0.95505,2.73139,0.90027,0.00333,1,0.17901,0.10777,1.084,3.83877,0.99754,0.0001802,0.0001802,0.0001802
12,48.8616,1.11301,2.31173,0.99562,0.00333,1,0.5484,0.34413,0.75056,3.68949,0.86605,0.000196042,0.000196042,0.000196042
13,52.8599,1.12872,2.29865,0.97342,0.00333,1,0.8575,0.58912,0.71028,3.51078,0.79562,0.000211488,0.000211488,0.000211488
14,56.8362,0.92427,2.09465,0.92358,0.00333,1,0.995,0.64349,0.71017,3.45265,0.78156,0.000226538,0.000226538,0.000226538
15,60.8056,1.01884,1.77453,0.94622,0.00333,1,0.995,0.64353,0.69107,3.43567,0.77726,0.000241192,0.000241192,0.000241192
16,64.7467,0.82351,1.46596,0.9141,0.00333,1,0.87192,0.60833,0.72638,3.42449,0.78376,0.00025545,0.00025545,0.00025545
17,68.6698,0.93922,1.69876,0.94433,0.00333,1,0.79666,0.55741,0.75724,3.48792,0.79319,0.000269312,0.000269312,0.000269312
