epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7301,2.44345,5.24901,1.42142,2e-05,0.00127,1e-05,0,2.10398,5.04621,1.19444,4.998e-05,4.998e-05,4.998e-05
2,85.5032,1.95744,4.76123,1.10939,0.00035,0.01514,0.0002,8e-05,1.75003,4.80991,1.0088,0.00010604,0.00010604,0.00010604
3,126.364,1.91131,4.27635,1.02422,0.00116,0.05196,0.00759,0.00382,1.89052,4.79888,1.01325,0.000160968,0.000160968,0.000160968
4,166.353,1.76729,3.72598,0.99623,0.00904,0.35401,0.09754,0.0477,1.54611,4.52847,0.94528,0.000214766,0.000214766,0.000214766
5,206.432,1.75194,3.25821,0.99984,0.0129,0.60601,0.12085,0.05751,1.56483,4.33077,0.95949,0.000267433,0.000267433,0.000267433
6,246.594,1.70523,3.03943,0.97782,0.00652,0.30382,0.103,0.05651,1.52983,4.44009,0.96482,0.000318969,0.000318969,0.000318969
7,286.712,1.62394,2.7385,0.96361,0.00917,0.49528,0.14522,0.07864,1.53693,4.22669,0.9553,0.000369374,0.000369374,0.000369374
8,325.835,1.61987,2.67658,0.98029,0.01641,0.92902,0.20121,0.11199,1.50427,3.66897,0.94928,0.000418647,0.000418647,0.000418647
9,364.345,1.63326,2.49998,0.99526,0.01563,0.85439,0.24435,0.13874,1.54336,3.6978,0.96149,0.00046679,0.00046679,0.00046679
10,402.956,1.56549,2.44506,0.97099,0.01658,0.85371,0.26858,0.14707,1.5267,3.67467,0.97508,0.000513802,0.000513802,0.000513802
11,440.94,1.54715,2.37724,0.9701,0.02112,0.92122,0.31673,0.16916,1.50029,3.48677,0.96694,0.000559683,0.000559683,0.000559683
12,479.105,1.51905,2.28355,1.00551,0.69178,0.11926,0.39549,0.22008,1.54268,2.91707,0.97809,0.000604433,0.000604433,0.000604433
13,516.892,1.6063,2.25747,0.99341,0.50381,0.17024,0.42878,0.24389,1.44753,2.82289,0.95349,0.000629177,0.000629177,0.000629177
14,554.961,1.5703,2.14743,0.96443,0.34487,0.26009,0.44751,0.25025,1.50215,2.68808,0.97164,0.000622108,0.000622108,0.000622108
15,592.634,1.56372,2.06146,0.97957,0.4742,0.41496,0.49303,0.28338,1.47317,2.47337,0.97015,0.00061504,0.00061504,0.00061504
16,630.329,1.48004,2.03741,0.95908,0.50957,0.36628,0.52046,0.29776,1.4823,2.52539,0.96524,0.000607971,0.000607971,0.000607971
17,667.65,1.52623,1.97642,0.97345,0.57961,0.48725,0.57611,0.32303,1.47741,2.30416,0.96131,0.000600902,0.000600902,0.000600902
18,706.087,1.46899,1.92106,0.96799,0.58347,0.58426,0.59807,0.34629,1.45507,2.09003,0.95876,0.000593834,0.000593834,0.000593834
19,744.314,1.5021,1.87971,0.99311,0.53099,0.58843,0.60206,0.35132,1.42704,1.95568,0.95877,0.000586765,0.000586765,0.000586765
20,782.138,1.46862,1.89204,0.98194,0.59504,0.53063,0.62075,0.36753,1.40492,1.81559,0.95911,0.000579697,0.000579697,0.000579697
